,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","2016","62.7","61.0","64.5","16.3","15.5","17.1","53.0","52.1","54.1","11.3","10.9","11.7"
"Albania","2016","76.4","74.3","78.6","20.8","19.4","22.3","68.1","66.7","69.6","16.3","15.3","17.4"
"Algeria","2016","76.4","75.4","77.4","21.9","21.4","22.5","65.5","65.4","65.6","15.8","15.7","15.8"
"Angola","2016","62.6","60.3","64.9","17.3","16.5","18.1","55.8","53.8","57.7","13.6","12.9","14.3"
"Antigua and Barbuda","2016","75.0","72.5","77.5","19.7","17.7","21.7","67.0","65.2","68.8","15.6","14.0","17.1"
"Argentina","2016","76.9","73.5","80.3","21.8","19.2","24.1","68.4","65.9","70.7","17.3","15.3","19.1"
"Armenia","2016","74.8","71.2","78.1","19.6","17.4","21.4","66.3","63.6","68.7","15.1","13.6","16.3"
"Australia","2016","82.9","81.0","84.8","25.6","24.3","26.9","73.0","71.8","74.1","20.4","19.3","21.4"
"Austria","2016","81.9","79.4","84.2","24.4","22.5","26.1","72.4","70.9","73.9","19.3","17.9","20.6"
"Azerbaijan","2016","73.1","70.3","75.7","18.9","17.2","20.5","64.9","62.8","66.9","14.6","13.3","15.8"
"Bahamas","2016","75.7","72.6","78.6","22.6","20.7","24.1","66.8","64.7","68.8","17.7","16.3","18.8"
"Bahrain","2016","79.1","78.6","79.6","21.7","21.5","22.0","68.1","68.3","67.6","16.0","16.0","15.8"
"Bangladesh","2016","72.7","71.1","74.4","19.6","18.6","20.9","63.3","62.6","64.1","14.7","14.0","15.4"
"Barbados","2016","75.6","73.1","78.0","19.8","18.1","21.5","67.0","65.4","68.5","15.6","14.3","16.7"
"Belarus","2016","74.2","68.8","79.2","19.6","15.9","22.3","65.5","61.4","69.3","15.1","12.3","17.2"
"Belgium","2016","81.2","78.8","83.5","24.1","22.2","25.8","71.6","70.2","73.0","18.8","17.4","20.1"
"Belize","2016","70.5","67.9","73.4","17.1","15.8","18.6","62.5","60.7","64.5","13.4","12.5","14.4"
"Benin","2016","61.1","59.7","62.4","17.2","16.6","17.7","53.5","52.5","54.4","13.3","12.8","13.7"
