country,ind_date,yrs_since_ind,year,life_exp
Afghanistan,191908,97,2016,62.7
Albania,191307,103,2016,76.4
Algeria,196207,54,2016,76.4
Angola,197511,41,2016,62.6
Antigua and Barbuda,198111,35,2016,75.0
Argentina,181607,200,2016,76.9
Armenia,199112,25,2016,74.8
Australia,190101,115,2016,82.9
Austria,128212,734,2016,81.9
Azerbaijan,199112,25,2016,73.1
Bahamas,197307,43,2016,75.7
Bahrain,197108,45,2016,79.1
Bangladesh,197112,45,2016,72.7
Barbados,196611,50,2016,75.6
Belarus,199112,25,2016,74.2
Belgium,183010,186,2016,81.2
Belize,198109,35,2016,70.5
Benin,196008,56,2016,61.1
Bhutan,194708,69,2016,70.6
Bolivia,182508,191,2016,71.5
Bosnia and Herzegovina,199203,24,2016,77.3
Botswana,196609,50,2016,66.1
Brazil,182209,194,2016,75.1
Brunei,198401,32,2016,76.4
Bulgaria,187803,138,2016,74.8
Burkina Faso,196008,56,2016,60.3
Burundi,196207,54,2016,60.1
Cambodia,195311,63,2016,69.4
Cameroon,196001,56,2016,58.1
Canada,186707,149,2016,82.8
Cape Verde,197507,41,2016,73.2
Central African Republic,196010,56,2016,53.0
Chad,196008,56,2016,54.3
Chile,181802,198,2016,79.5
China,194911,67,2016,76.4
Colombia,181912,197,2016,75.1
Comoros,197507,41,2016,63.9
Republic of the Congo,196008,56,2016,64.3
Costa Rica,183811,178,2016,79.6
Côte d'Ivoire,196008,56,2016,54.6
Croatia,199106,25,2016,78.3
Cuba,195901,57,2016,79.0
Cyprus,196008,56,2016,80.7
Czechia,191810,98,2016,79.2
Democratic Republic of the Congo,196006,56,2016,60.5
Denmark,098000,1036,2016,81.2
Djibouti,197706,39,2016,63.8
Dominican Republic,184402,172,2016,73.5
Timor-Leste,200205,14,2016,68.6
Ecuador,183005,186,2016,76.5
Egypt,183111,185,2016,70.5
El Salvador,184004,176,2016,73.7
Equatorial Guinea,196810,48,2016,59.5
Eritrea,199305,23,2016,65.0
Estonia,191811,98,2016,77.8
eSwatini,196809,48,2016,57.7
Ethiopia,185502,161,2016,65.5
Federated States of Micronesia,198611,30,2016,69.6
Fiji,197010,46,2016,69.9
Finland,191712,99,2016,81.4
