ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name
1,107000,Thunderbird School of Global Management,Glendale,AZ,12/12/2012,"$1,220,000.00 ",Contract,MEXICO,Instituto Technologico y de Estudio
2,107000,Thunderbird School of Global Management,Glendale,AZ,11/26/2012,"$395,790.00 ",Contract,CHINA,Intel Products (Chengdu) LTD
3,107000,Thunderbird School of Global Management,Glendale,AZ,11/19/2012,"$2,769,651.00 ",Contract,SAUDI ARABIA,Saudi Basic Industries Corporation
4,107000,Thunderbird School of Global Management,Glendale,AZ,7/31/2012,"$364,128.00 ",Contract,KUWAIT,Kuwait National Petroleum CO
5,108100,Arizona State University,Tempe,AZ,12/29/2017,"$180,000.00 ",Contract,THE NETHERLANDS,Airbus Group SE
6,108100,Arizona State University,Tempe,AZ,12/21/2017,"$135,000.00 ",Contract,CHINA,Confucius Institute Headquarters
7,108100,Arizona State University,Tempe,AZ,12/6/2017,"$81,610.00 ",Contract,QATAR,RasGas Company Limited
8,108100,Arizona State University,Tempe,AZ,12/1/2017,"$154,120.00 ",Contract,CHINA,Confucius Institute Headquarters
9,108100,Arizona State University,Tempe,AZ,11/30/2017,"$115,248.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
10,108100,Arizona State University,Tempe,AZ,11/20/2017,"$303,660.00 ",Contract,UNITED ARAB EMIRATES,"Scholarships Office, The"
11,108100,Arizona State University,Tempe,AZ,11/14/2017,"$189,730.00 ",Contract,JAPAN,Kinki Nippon Tourist Co.
12,108100,Arizona State University,Tempe,AZ,11/10/2017,"$26,954.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
13,108100,Arizona State University,Tempe,AZ,11/10/2017,"$12,530.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
14,108100,Arizona State University,Tempe,AZ,11/10/2017,"$8,976.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
15,108100,Arizona State University,Tempe,AZ,10/23/2017,"$180,000.00 ",Contract,THE NETHERLANDS,Airbus Group SE
16,108100,Arizona State University,Tempe,AZ,10/23/2017,"$20,000.00 ",Contract,THE NETHERLANDS,Airbus Group SE
17,108100,Arizona State University,Tempe,AZ,10/17/2017,"$30,000.00 ",Contract,MEXICO,Consejo Nacional de Cienciea y Tecn
18,108100,Arizona State University,Tempe,AZ,10/12/2017,"$5,436.00 ",Contract,UNITED ARAB EMIRATES,"Scholarships Office, The"
19,108100,Arizona State University,Tempe,AZ,10/11/2017,"$22,512.00 ",Contract,QATAR,RasGas Company Limited
20,108100,Arizona State University,Tempe,AZ,10/3/2017,"$1,005,000.00 ",Contract,CHINA,Federation of Univ. Sports of China
21,108100,Arizona State University,Tempe,AZ,9/19/2017,"$65,490.00 ",Contract,UNITED ARAB EMIRATES,"Scholarships Office, The"
22,108100,Arizona State University,Tempe,AZ,9/11/2017,"$218,706.00 ",Contract,INDONESIA,Kantor Gubernur Lantai III
23,108100,Arizona State University,Tempe,AZ,9/11/2017,"$206,083.00 ",Contract,MEXICO,COMEXUS
24,108100,Arizona State University,Tempe,AZ,9/8/2017,"$450,000.00 ",Contract,CHINA,Federation of Univ. Sports of China
25,108100,Arizona State University,Tempe,AZ,9/8/2017,"$224,357.00 ",Contract,SAUDI ARABIA,King Abdulaziz City for Sci & Tech
26,108100,Arizona State University,Tempe,AZ,8/17/2017,"$12,721.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
27,108100,Arizona State University,Tempe,AZ,8/17/2017,"$8,967.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
28,108100,Arizona State University,Tempe,AZ,7/27/2017,"$7,300,724.00 ",Monetary Gift,CANADA,MasterCard Fndn Scholarship - ORSPA
29,108100,Arizona State University,Tempe,AZ,7/27/2017,"$141,638.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
30,108100,Arizona State University,Tempe,AZ,7/27/2017,"$34,000.00 ",Contract,MEXICO,Technologic de Monterrey (ITESM)
31,108100,Arizona State University,Tempe,AZ,7/27/2017,"$23,405.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
32,108100,Arizona State University,Tempe,AZ,7/21/2017,$303.00 ,Contract,MEXICO,COMEXUS
33,108100,Arizona State University,Tempe,AZ,7/17/2017,"$63,344.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
34,108100,Arizona State University,Tempe,AZ,7/11/2017,"$250,000.00 ",Contract,MEXICO,Consejo Nacional de Cienciea y Tecn
35,108100,Arizona State University,Tempe,AZ,7/11/2017,"$10,350.00 ",Contract,MEXICO,Consejo Nacional de Cienciea y Tecn
36,108100,Arizona State University,Tempe,AZ,7/7/2017,"$206,083.00 ",Contract,MEXICO,COMEXUS
37,108100,Arizona State University,Tempe,AZ,6/21/2017,"$87,381.00 ",Contract,MEXICO,Technologico de Monterrey
38,108100,Arizona State University,Tempe,AZ,6/16/2017,"$250,000.00 ",Contract,MEXICO,Technologico de Monterrey
39,108100,Arizona State University,Tempe,AZ,6/16/2017,"$250,000.00 ",Contract,MEXICO,Tec de Monterrey University
40,108100,Arizona State University,Tempe,AZ,6/8/2017,"$1,201,515.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
41,108100,Arizona State University,Tempe,AZ,6/8/2017,"$1,201,515.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
42,108100,Arizona State University,Tempe,AZ,6/8/2017,"$16,103.00 ",Contract,QATAR,RasGas Company Limited
43,108100,Arizona State University,Tempe,AZ,6/2/2017,"$31,640.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
44,108100,Arizona State University,Tempe,AZ,6/2/2017,"$31,640.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
45,108100,Arizona State University,Tempe,AZ,5/16/2017,"$255,000.00 ",Contract,PERU,Programa Nacional de Becas Y Credit
46,108100,Arizona State University,Tempe,AZ,5/16/2017,"$255,000.00 ",Contract,PERU,Program Nacional de Becas Y Credit
47,108100,Arizona State University,Tempe,AZ,5/15/2017,"$64,547.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
48,108100,Arizona State University,Tempe,AZ,5/15/2017,"$26,913.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
49,108100,Arizona State University,Tempe,AZ,5/15/2017,"$13,157.00 ",Contract,MALAYSIA,Ministry of Education Malaysia
50,108100,Arizona State University,Tempe,AZ,5/3/2017,"$104,080.00 ",Contract,QATAR,RasGas Company Limited
51,108100,Arizona State University,Tempe,AZ,4/28/2017,"$303,154.00 ",Contract,SWITZERLAND,F Hoffman-La Roche Ltd
52,108100,Arizona State University,Tempe,AZ,4/28/2017,"$297,046.00 ",Contract,SWITZERLAND,F Hoffmann-La Roche Ltd
53,108100,Arizona State University,Tempe,AZ,4/17/2017,"$349,015.00 ",Contract,UNITED ARAB EMIRATES,"Scholarships Office, The"
54,108100,Arizona State University,Tempe,AZ,4/17/2017,"$349,015.00 ",Contract,UNITED ARAB EMIRATES,"Scholarships Office, The"
55,108100,Arizona State University,Tempe,AZ,4/14/2017,"$708,953.00 ",Contract,THE NETHERLANDS,Rijkswaterstaat
56,108100,Arizona State University,Tempe,AZ,4/3/2017,"$49,857.00 ",Contract,SAUDI ARABIA,King Abdulaziz City for Sci & Tech
57,108100,Arizona State University,Tempe,AZ,3/24/2017,"$65,652.00 ",Contract,JAPAN,Kinki Nippon Tourist Co.
58,108100,Arizona State University,Tempe,AZ,2/24/2017,"$383,618.00 ",Contract,VIETNAM,"Intel Products Vietnam Co., Ltd."
59,108100,Arizona State University,Tempe,AZ,2/14/2017,"$218,297.00 ",Contract,INDONESIA,Kantor Gubernur Lantai III
60,108100,Arizona State University,Tempe,AZ,2/9/2017,"$42,240.00 ",Contract,MEXICO,Technologic de Monterrey (ITESM)
61,108100,Arizona State University,Tempe,AZ,1/19/2017,"$14,835.00 ",Contract,QATAR,RasGas Company Limited
62,108100,Arizona State University,Tempe,AZ,1/17/2017,"$1,702,930.00 ",Contract,CHINA,Shanghai Nat'l Accounting Inst.
63,108100,Arizona State University,Tempe,AZ,1/17/2017,"$1,702,930.00 ",Contract,CHINA,Shanghai Nat'l Accounting Inst.
64,108100,Arizona State University,Tempe,AZ,1/10/2017,"$254,157.00 ",Contract,MEXICO,Technologico de Monterrey
65,108100,Arizona State University,Tempe,AZ,1/9/2017,"$144,161.00 ",Contract,SWITZERLAND,F Hoffman-La Roche Ltd
66,108100,Arizona State University,Tempe,AZ,1/9/2017,"$103,567.00 ",Contract,SWITZERLAND,F Hoffman-La Roche Ltd
67,108100,Arizona State University,Tempe,AZ,1/9/2017,"$78,425.00 ",Contract,SWITZERLAND,F Hoffman-La Roche Ltd
68,108100,Arizona State University,Tempe,AZ,1/9/2017,"$21,319.00 ",Contract,SWITZERLAND,F Hoffman-La Roche Ltd
69,108100,Arizona State University,Tempe,AZ,1/9/2017,"$21,319.00 ",Contract,SWITZERLAND,F Hoffmann-La Roche Ltd
70,108100,Arizona State University,Tempe,AZ,12/29/2016,"$2,755.00 ",Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
71,108100,Arizona State University,Tempe,AZ,12/19/2016,"$93,690.00 ",Contract,QATAR,Qatar Petroleum
72,108100,Arizona State University,Tempe,AZ,12/14/2016,"$11,682.00 ",Contract,QATAR,Qatar Petroleum
73,108100,Arizona State University,Tempe,AZ,12/8/2016,"$27,214.00 ",Contract,KENYA,Deloitte Limited 
74,108100,Arizona State University,Tempe,AZ,12/7/2016,"$637,416.00 ",Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
75,108100,Arizona State University,Tempe,AZ,12/1/2016,"$103,482.00 ",Contract,QATAR,RasGas Company Limited
76,108100,Arizona State University,Tempe,AZ,12/1/2016,"$57,196.00 ",Contract,QATAR,Sidra Medical and Research Center
77,108100,Arizona State University,Tempe,AZ,11/28/2016,"$36,807.00 ",Contract,KENYA,Deloitte Limited 
78,108100,Arizona State University,Tempe,AZ,11/28/2016,"$32,400.00 ",Contract,KENYA,Deloitte Limited 
79,108100,Arizona State University,Tempe,AZ,11/28/2016,"$26,549.00 ",Contract,KENYA,Deloitte Limited 
80,108100,Arizona State University,Tempe,AZ,11/21/2016,"$362,881.00 ",Contract,UNITED ARAB EMIRATES,Ministry of President'l Affairs UAE
81,108100,Arizona State University,Tempe,AZ,11/18/2016,"$17,495.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
82,108100,Arizona State University,Tempe,AZ,11/15/2016,"$5,980.00 ",Contract,VIETNAM,Intel Products Vietnam Co Ltd
83,108100,Arizona State University,Tempe,AZ,11/8/2016,"$134,656.00 ",Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
84,108100,Arizona State University,Tempe,AZ,11/2/2016,"$106,018.00 ",Contract,SOUTH KOREA,Samsung Electronics Co Ltd
85,108100,Arizona State University,Tempe,AZ,10/31/2016,"$34,428.00 ",Contract,KENYA,Deloitte Limited 
86,108100,Arizona State University,Tempe,AZ,10/17/2016,"$259,695.00 ",Contract,SWITZERLAND,F Hoffmann-La Roche Ltd 
87,108100,Arizona State University,Tempe,AZ,10/17/2016,"$217,485.00 ",Contract,SWITZERLAND,F Hoffmann-La Roche Ltd 
88,108100,Arizona State University,Tempe,AZ,10/17/2016,"$78,425.00 ",Contract,SWITZERLAND,F Hoffmann-La Roche Ltd 
89,108100,Arizona State University,Tempe,AZ,10/12/2016,"$4,377.00 ",Contract,QATAR,Qatar Petroleum
90,108100,Arizona State University,Tempe,AZ,10/6/2016,"$6,753,750.00 ",Monetary Gift,CANADA,The MasterCard Foundation
91,108100,Arizona State University,Tempe,AZ,9/28/2016,"$3,940.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
92,108100,Arizona State University,Tempe,AZ,9/26/2016,"$30,739.00 ",Contract,QATAR,Qatar Petroleum
93,108100,Arizona State University,Tempe,AZ,9/23/2016,"$846,000.00 ",Contract,CHINA,Federation of Univ Sports of China
94,108100,Arizona State University,Tempe,AZ,9/7/2016,"$24,600.00 ",Contract,QATAR,RasGas Company Limited
95,108100,Arizona State University,Tempe,AZ,9/6/2016,"$5,310.00 ",Contract,QATAR,Sidra Medical and Research Center
96,108100,Arizona State University,Tempe,AZ,9/2/2016,"$389,618.00 ",Contract,VIETNAM,Intel Products Vietnam Co Ltd
97,108100,Arizona State University,Tempe,AZ,8/31/2016,"$468,000.00 ",Contract,CHINA,Federation of Univ Sports of China
98,108100,Arizona State University,Tempe,AZ,8/31/2016,"$299,169.00 ",Contract,MEXICO,COMEXUS
99,108100,Arizona State University,Tempe,AZ,8/31/2016,"$170,390.00 ",Contract,MEXICO,COMEXUS
100,108100,Arizona State University,Tempe,AZ,8/26/2016,"$628,425.00 ",Contract,CHINA,SAIF@Shanghai Jiaotong University
101,108100,Arizona State University,Tempe,AZ,8/24/2016,"$7,200.00 ",Contract,CHINA,Federation of Univ Sports of China
102,108100,Arizona State University,Tempe,AZ,8/4/2016,"$5,980.00 ",Contract,VIETNAM,Intel Products Vietnam Co Ltd
103,108100,Arizona State University,Tempe,AZ,7/20/2016,"$299,169.00 ",Contract,MEXICO,COMEXUS
104,108100,Arizona State University,Tempe,AZ,7/20/2016,"$170,390.00 ",Contract,MEXICO,COMEXUS
105,108100,Arizona State University,Tempe,AZ,6/27/2016,"$105,076.00 ",Contract,SWITZERLAND,Hoffman-La Roche
106,108100,Arizona State University,Tempe,AZ,6/27/2016,"$83,476.00 ",Contract,SWITZERLAND,Hoffman-La Roche
107,108100,Arizona State University,Tempe,AZ,6/27/2016,"$78,425.00 ",Contract,SWITZERLAND,Hoffman-La Roche
108,108100,Arizona State University,Tempe,AZ,6/27/2016,"$15,358.00 ",Contract,QATAR,RasGas Company Limited
109,108100,Arizona State University,Tempe,AZ,6/23/2016,"$299,975.00 ",Monetary Gift,AUSTRALIA,Cure Brain Cancer Foundation
110,108100,Arizona State University,Tempe,AZ,6/23/2016,"$299,975.00 ",Monetary Gift,AUSTRALIA,Pure Brain Cancer Foundation
111,108100,Arizona State University,Tempe,AZ,6/23/2016,"$114,683.00 ",Contract,KENYA,Deloitte Limited 
112,108100,Arizona State University,Tempe,AZ,6/23/2016,"$32,895.00 ",Contract,KENYA,Deloitte Limited 
113,108100,Arizona State University,Tempe,AZ,6/23/2016,"$31,995.00 ",Contract,KENYA,Deloitte Limited 
114,108100,Arizona State University,Tempe,AZ,6/23/2016,"$30,368.00 ",Contract,KENYA,Deloitte Limited 
115,108100,Arizona State University,Tempe,AZ,6/23/2016,"$7,396.00 ",Contract,KENYA,Deloitte Limited 
116,108100,Arizona State University,Tempe,AZ,6/21/2016,"$14,317.00 ",Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
117,108100,Arizona State University,Tempe,AZ,6/13/2016,"$783,478.00 ",Contract,CHINA,Shanghai National Accounting Instit
118,108100,Arizona State University,Tempe,AZ,6/6/2016,"$15,798.00 ",Contract,UNITED ARAB EMIRATES,"Ministry of Presidential Affairs, U"
119,108100,Arizona State University,Tempe,AZ,5/31/2016,"$151,991.00 ",Contract,QATAR,Qatar Petroleum
120,108100,Arizona State University,Tempe,AZ,5/26/2016,"$78,544.00 ",Contract,QATAR,Qatar Airways
121,108100,Arizona State University,Tempe,AZ,5/16/2016,"$108,865.00 ",Contract,QATAR,Sidra Medical and Research Center
122,108100,Arizona State University,Tempe,AZ,5/12/2016,"$106,018.00 ",Contract,SOUTH KOREA,Samsung Electronics Co Ltd
123,108100,Arizona State University,Tempe,AZ,5/5/2016,"$843,714.00 ",Contract,BRAZIL,Govt the Fed District of Brazil
124,108100,Arizona State University,Tempe,AZ,5/4/2016,"$126,627.00 ",Contract,QATAR,RasGas Company Limited
125,108100,Arizona State University,Tempe,AZ,5/3/2016,"$508,920.00 ",Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
126,108100,Arizona State University,Tempe,AZ,5/2/2016,"$621,000.00 ",Contract,PERU,Programa Nacional de Becas y Credit
127,108100,Arizona State University,Tempe,AZ,4/25/2016,"$564,503.00 ",Contract,VIETNAM,Intel Products Vietnam Co Ltd
128,108100,Arizona State University,Tempe,AZ,4/20/2016,"$48,000.00 ",Contract,SOUTH KOREA,Samsung Electronics Co Ltd
